GameID,New_Date
45178,2026-01-01
45179,2026-01-01
45184,2026-01-02
45235,2026-01-03
45236,2026-01-05
45292,2026-01-17
45785,2026-01-06
45786,2026-01-07
45787,2026-01-10
45848,2026-01-11
45850,2026-01-11
45851,2026-01-12
45852,2026-01-13
45858,2026-01-13
45860,2026-01-14
45861,2026-01-26
45862,2026-01-27
45863,2026-01-28
45645,2026-02-17
45646,2026-02-19
45864,2026-01-29
45868,2026-01-29
45869,2026-01-30
45870,2026-01-31
45871,2026-02-01
45872,2026-02-02
45873,2026-02-03
45874,2026-02-04
45877,2026-02-06
45882,2026-02-06
45883,2026-02-07
45884,2026-02-08
45885,2026-02-08
45886,2026-02-08
45887,2026-02-09
45889,2026-02-09
45893,2026-02-10
45895,2026-02-10
45896,2026-02-11
45898,2026-02-12
45899,2026-02-12
45906,2026-02-13
45907,2026-02-14
45908,2026-02-14
45909,2026-02-15
45910,2026-02-15
45911,2026-02-15
45912,2026-02-15
45913,2026-02-16
45914,2026-02-16
45927,2026-02-17
45934,2026-02-18
45935,2026-02-18
45936,2026-02-18
45937,2026-02-21
45938,2026-02-22
45939,2026-03-01
45940,2026-02-22
45941,2026-02-22
45942,2026-02-22
45943,2026-02-23
45944,2026-02-25
45945,2026-02-25
45946,2026-02-27
45947,2026-02-27
45948,2026-03-02
45949,2026-03-02
45950,2026-03-02
45951,2026-03-02
45952,2026-03-03
45953,2026-03-04
45954,2026-03-06
45955,2026-03-08
45956,2026-03-08
